"Authentication","Authentification"
"Get a Mailjet free account","Obtenez un compte Mailjet gratuit"
"<a href=\"https://www.mailjet.com/?p=AFFILIATE_TAG\" target=\"_blank\">Get a Mailjet free account</a>","test"
"API key","Clef API"
"Secret key","Clef secrète"
"Enabled","Activé"
"No","Non"
"Yes","Oui"
"If No, use the default Magento configuration.","Si Non, utilise la configuration par défaut de Magento."
"Use Mailjet SMTP to send transactional emails.","Utiliser le SMTP Mailjet pour envoyer les e-mails transactionnels."
"Sending test","Envoi de test"
"Sends an email to the Contact Us form recipient.","Envois un e-mail au destinataire du formulaire Contactez-nous."
"Test fail!","Echec du test !"
"check exception.log file","vérifiez le fichier exception.log"
"Test success!","Test réussi !"